Transfer,Replicate,psi.D,psi.R,psi.T,psi.N,D.0,R.0,D.t,R.t,T.t,t
DRT,1,0.9212426,0.9018514,0.932255,0.9029466,1.66E+06,2.12E+06,2.50E+08,1.09E+08,3.65E+04,4
DRT,2,1.0640712,0.9843512,0.9302637,0.9291684,8.90E+05,1.18E+06,2.44E+08,1.89E+08,7.83E+04,4
DRT,3,1.1290675,1.0182146,1.0372803,1.0045346,8.25E+05,1.46E+06,2.80E+08,2.16E+08,1.66E+05,4
DRT,1,0.9212426,0.9018514,0.932255,0.9029466,1.66E+06,2.12E+06,3.51E+08,1.03E+08,5.86E+04,24
DRT,2,1.0640712,0.9843512,0.9302637,0.9291684,8.90E+05,1.18E+06,3.88E+08,1.09E+08,6.36E+04,24
DRT,3,1.1290675,1.0182146,1.0372803,1.0045346,8.25E+05,1.46E+06,6.88E+08,2.49E+08,1.83E+05,24
TRT,1,0.9765973,0.9018514,0.932255,0.8541672,2.09E+06,2.70E+06,3.75E+07,8.68E+07,2.38E+05,4
TRT,2,1.0189664,0.9843512,0.9302637,0.8633149,1.49E+06,1.67E+06,1.20E+08,1.07E+08,5.95E+05,4
TRT,3,1.0214639,1.0182146,1.0372803,0.9374129,1.36E+06,2.38E+06,4.79E+08,8.80E+08,3.74E+06,4
TRT,1,0.9765973,0.9018514,0.932255,0.8541672,2.09E+06,2.70E+06,9.27E+07,1.85E+08,4.13E+05,24
TRT,2,1.0189664,0.9843512,0.9302637,0.8633149,1.49E+06,1.67E+06,1.29E+08,1.60E+08,7.54E+05,24
TRT,3,1.0214639,1.0182146,1.0372803,0.9374129,1.36E+06,2.38E+06,3.93E+07,5.49E+07,1.67E+06,24