Replicate,D.0,R.0,D.t,R.t,T.t,t
1,2.07E+07,1.40E+07,32833027,33499693,307,0.75
2,1.35E+07,1.65E+07,16666580,19374913,87,0.75
3,1.30E+07,5.65E+06,14499933,7749933,67,0.75
1,2.07E+07,1.40E+07,48166230,20166230,437,1.5
2,1.35E+07,1.65E+07,46415597,4582263,1070,1.5
3,1.30E+07,5.65E+06,64666140,5957807,527,1.5
1,2.07E+07,1.40E+07,249984800,179984800,15200,5
2,1.35E+07,1.65E+07,319144833,125811500,21833,5
3,1.30E+07,5.65E+06,230823567,84990233,9767,5
2,1.35E+07,1.65E+07,317533333,306283333,1216667,19
3,1.30E+07,5.65E+06,292160000,344660000,340000,19
1,2.07E+07,1.40E+07,278612000,525278667,1388000,25
2,1.35E+07,1.65E+07,265530000,305530000,1136667,25
3,1.30E+07,5.65E+06,388130000,332296667,1036667,25