Time _h,Biological_replicate,Plate_replicate,Num_colonies_LB_CTX,Num_colonies_LB_CAM,Num_colonies_LB_CTX_CAM,CFU_ml_dilution_factor_LB_CTX,CFU_ml_dilution_factor_LB_CAM,CFU_ml_dilution_factor_LB_CTX_CAM,CFU_ml_LB_CTX,CFU_ml_Donor_minus_CFU_ml_Transconjugant,CFU_ml_LB_CAM,CFU_ml_Recipient_minus_CFU_ml_Transconjugant,CFU_ml_LB_CTX_CAM_Transconjugant,Monoculture_Donor_num_colonies,CFU_ml_Donor_monoculture,Monoculture_Recipient_num_colonies,CFU_ml_Recipient_monoculture
0,1,1,38,14,1,5.00E+05,5.00E+05,1.00E+01,1.90E+07,1.90E+07,7.00E+06,7.00E+06,1.00E+01,N/A,N/A,N/A,N/A
0,1,2,42,12,0,5.00E+05,5.00E+05,1.00E+01,2.10E+07,2.10E+07,6.00E+06,6.00E+06,0.00E+00,N/A,N/A,N/A,N/A
0,1,3,44,58,0,5.00E+05,5.00E+05,1.00E+01,2.20E+07,2.20E+07,2.90E+07,2.90E+07,0.00E+00,N/A,N/A,N/A,N/A
0.75,1,1,59,70,34,5.00E+05,5.00E+05,1.00E+01,2.95E+07,2.95E+07,3.50E+07,3.50E+07,3.40E+02,N/A,N/A,N/A,N/A
0.75,1,2,72,70,30,5.00E+05,5.00E+05,1.00E+01,3.60E+07,3.60E+07,3.50E+07,3.50E+07,3.00E+02,N/A,N/A,N/A,N/A
0.75,1,3,66,61,28,5.00E+05,5.00E+05,1.00E+01,3.30E+07,3.30E+07,3.05E+07,3.05E+07,2.80E+02,N/A,N/A,N/A,N/A
1.5,1,1,89,21,24,5.00E+05,5.00E+05,1.00E+01,4.45E+07,4.45E+07,1.05E+07,1.05E+07,2.40E+02,N/A,N/A,N/A,N/A
1.5,1,2,103,36,63,5.00E+05,5.00E+05,1.00E+01,5.15E+07,5.15E+07,1.80E+07,1.80E+07,6.30E+02,N/A,N/A,N/A,N/A
1.5,1,3,97,64,44,5.00E+05,5.00E+05,1.00E+01,4.85E+07,4.85E+07,3.20E+07,3.20E+07,4.40E+02,N/A,N/A,N/A,N/A
5,1,1,25,20,66,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,2.00E+08,2.00E+08,6.60E+03,N/A,N/A,N/A,N/A
5,1,2,25,20,238,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,2.00E+08,2.00E+08,2.38E+04,N/A,N/A,N/A,N/A
5,1,3,25,14,N/A,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,1.40E+08,1.40E+08,N/A,N/A,N/A,N/A,N/A
19,1,1,33,71,N/A,1.00E+07,1.00E+07,1.00E+02,3.30E+08,N/A,7.10E+08,N/A,N/A,N/A,N/A,N/A,N/A
19,1,2,34,46,N/A,1.00E+07,1.00E+07,1.00E+02,3.40E+08,N/A,4.60E+08,N/A,N/A,N/A,N/A,N/A,N/A
19,1,3,32,62,N/A,1.00E+07,1.00E+07,1.00E+02,3.20E+08,N/A,6.20E+08,N/A,N/A,N/A,N/A,N/A,N/A
25,1,1,34,46,1108,1.00E+07,1.00E+07,1.00E+03,3.40E+08,3.39E+08,4.60E+08,4.59E+08,1.11E+06,N/A,N/A,N/A,N/A
25,1,2,24,59,1140,1.00E+07,1.00E+07,1.00E+03,2.40E+08,2.39E+08,5.90E+08,5.89E+08,1.14E+06,N/A,N/A,N/A,N/A
25,1,3,26,53,1916,1.00E+07,1.00E+07,1.00E+03,2.60E+08,2.59E+08,5.30E+08,5.29E+08,1.92E+06,N/A,N/A,N/A,N/A
0,2,1,259,301,1,6.25E+04,6.25E+04,1.00E+01,1.62E+07,1.62E+07,1.88E+07,1.88E+07,1.00E+01,274,1.71E+07,567,3.54E+07
0,2,2,184,262,1,6.25E+04,6.25E+04,1.00E+01,1.15E+07,1.15E+07,1.64E+07,1.64E+07,1.00E+01,N/A,N/A,N/A,N/A
0,2,3,206,228,0,6.25E+04,6.25E+04,1.00E+01,1.29E+07,1.29E+07,1.43E+07,1.42E+07,0.00E+00,N/A,N/A,N/A,N/A
0.75,2,1,130,142,6,1.25E+05,1.25E+05,1.00E+01,1.63E+07,1.62E+07,1.78E+07,1.77E+07,6.00E+01,233,2.91E+07,23,2.88E+06
0.75,2,2,118,157,3,1.25E+05,1.25E+05,1.00E+01,1.48E+07,1.47E+07,1.96E+07,1.96E+07,3.00E+01,N/A,N/A,N/A,N/A
0.75,2,3,152,166,17,1.25E+05,1.25E+05,1.00E+01,1.90E+07,1.90E+07,2.08E+07,2.07E+07,1.70E+02,N/A,N/A,N/A,N/A
1.5,2,1,201,16,118,2.50E+05,2.50E+05,1.00E+01,5.03E+07,5.02E+07,4.00E+06,4.00E+06,1.18E+03,361,9.03E+07,N/A,N/A
1.5,2,2,189,17,84,2.50E+05,2.50E+05,1.00E+01,4.73E+07,4.72E+07,4.25E+06,4.25E+06,8.40E+02,N/A,N/A,N/A,N/A
1.5,2,3,167,22,119,2.50E+05,2.50E+05,1.00E+01,4.18E+07,4.17E+07,5.50E+06,5.50E+06,1.19E+03,N/A,N/A,N/A,N/A
5,2,1,185,47,196,2.50E+06,2.50E+06,1.00E+02,4.63E+08,4.62E+08,1.18E+08,1.17E+08,1.96E+04,130,1300000000,39,390000000
5,2,2,102,49,233,2.50E+06,2.50E+06,1.00E+02,2.55E+08,2.55E+08,1.23E+08,1.22E+08,2.33E+04,N/A,N/A,N/A,N/A
5,2,3,96,55,226,2.50E+06,2.50E+06,1.00E+02,2.40E+08,2.40E+08,1.38E+08,1.37E+08,2.26E+04,N/A,N/A,N/A,N/A
19,2,1,133,109,111,2.50E+06,2.50E+06,1.00E+04,3.33E+08,3.31E+08,2.73E+08,2.71E+08,1.11E+06,64,640000000,85,850000000
19,2,2,122,132,109,2.50E+06,2.50E+06,1.00E+04,3.05E+08,3.04E+08,3.30E+08,3.29E+08,1.09E+06,N/A,N/A,N/A,N/A
19,2,3,N/A,128,145,2.50E+06,2.50E+06,1.00E+04,N/A,N/A,3.20E+08,3.19E+08,1.45E+06,N/A,N/A,N/A,N/A
25,2,1,97,130,116,2.50E+06,2.50E+06,1.00E+04,2.43E+08,2.41E+08,3.25E+08,3.24E+08,1.16E+06,71,710000000,91,910000000
25,2,2,117,142,98,2.50E+06,2.50E+06,1.00E+04,2.93E+08,2.91E+08,3.55E+08,3.54E+08,9.80E+05,N/A,N/A,N/A,N/A
25,2,3,106,96,127,2.50E+06,2.50E+06,1.00E+04,2.65E+08,2.64E+08,2.40E+08,2.39E+08,1.27E+06,N/A,N/A,N/A,N/A
0,3,1,252,156,1,6.25E+04,6.25E+04,1.00E+01,1.58E+07,1.57E+07,9.75E+06,9.75E+06,1.00E+01,323,2.02E+07,256,1.60E+07
0,3,2,184,43,0,6.25E+04,6.25E+04,1.00E+01,1.15E+07,1.15E+07,2.69E+06,2.69E+06,0.00E+00,N/A,N/A,N/A,N/A
0,3,3,186,72,0,6.25E+04,6.25E+04,1.00E+01,1.16E+07,1.16E+07,4.50E+06,4.50E+06,0.00E+00,N/A,N/A,N/A,N/A
0.75,3,1,127,60,9,1.25E+05,1.25E+05,1.00E+01,1.59E+07,1.59E+07,7.50E+06,7.50E+06,9.00E+01,218,2.73E+07,126,1.58E+07
0.75,3,2,105,71,4,1.25E+05,1.25E+05,1.00E+01,1.31E+07,1.31E+07,8.88E+06,8.87E+06,4.00E+01,N/A,N/A,N/A,N/A
0.75,3,3,N/A,55,7,1.25E+05,1.25E+05,1.00E+01,N/A,N/A,6.88E+06,6.87E+06,7.00E+01,N/A,N/A,N/A,N/A
1.5,3,1,277,272,49,2.50E+05,2.50E+05,1.00E+01,6.93E+07,6.92E+07,6.80E+06,6.80E+06,4.90E+02,431,1.08E+08,N/A,N/A
1.5,3,2,235,197,67,2.50E+05,2.50E+05,1.00E+01,5.88E+07,5.87E+07,4.93E+06,4.92E+06,6.70E+02,N/A,N/A,N/A,N/A
1.5,3,3,264,246,42,2.50E+05,2.50E+05,1.00E+01,6.60E+07,6.60E+07,6.15E+06,6.15E+06,4.20E+02,N/A,N/A,N/A,N/A
5,3,1,93,36,87,2.50E+06,2.50E+06,1.00E+02,2.33E+08,2.32E+08,9.00E+06,9.00E+07,8.70E+03,61,6.10E+08,37,3.70E+08
5,3,2,88,29,114,2.50E+06,2.50E+06,1.00E+02,2.20E+08,2.20E+08,7.25E+06,7.25E+07,1.14E+04,N/A,N/A,N/A,N/A
5,3,3,96,37,92,2.50E+06,2.50E+06,1.00E+02,2.40E+08,2.40E+08,9.25E+06,9.25E+07,9.20E+03,N/A,N/A,N/A,N/A
19,3,1,98,123,33,2.50E+06,2.50E+06,1.00E+04,2.45E+08,2.45E+08,3.08E+08,3.07E+08,3.30E+05,67,6.70E+08,72,7.20E+08
19,3,2,118,149,43,2.50E+06,2.50E+06,1.00E+04,2.95E+08,2.95E+08,3.73E+08,3.72E+08,4.30E+05,N/A,N/A,N/A,N/A
19,3,3,135,142,26,2.50E+06,2.50E+06,1.00E+04,3.38E+08,3.37E+08,3.55E+08,3.55E+08,2.60E+05,N/A,N/A,N/A,N/A
25,3,1,149,155,105,2.50E+06,2.50E+06,1.00E+04,3.73E+08,3.71E+08,3.88E+08,3.86E+08,1.05E+06,60,6.00E+08,97,9.70E+08
25,3,2,158,150,95,2.50E+06,2.50E+06,1.00E+04,3.95E+08,3.94E+08,3.75E+08,3.74E+08,9.50E+05,N/A,N/A,N/A,N/A
25,3,3,160,95,111,2.50E+06,2.50E+06,1.00E+04,4.00E+08,3.99E+08,2.38E+08,2.36E+08,1.11E+06,N/A,N/A,N/A,N/A
